SphereRadius,ThumbDistance,IndexDistance,Middle  Distance,RingDistance,PinkyDistance,Label
77.6860122680664,79.07405825135395,92.70322712563242,95.4736011051268,86.96326976106616,70.1014944491127,0
70.0511245727539,78.56361038763914,90.46062682550675,93.05072469803832,85.25599379574997,68.95265796892602,0
56.9609489440918,77.55348827561367,78.55530765846447,79.98871153847561,75.13830619135251,60.36324092546932,0
58.15456008911133,77.74519151842249,79.9047734073195,81.48378317733743,76.5782086310793,62.22669276670093,0
58.342716217041016,78.76401013178122,81.20936901615704,82.5705080292249,77.43036829325929,63.70638653162842,0
57.98454284667969,79.16150789820969,81.46581276980538,82.86773806988813,77.60459938895303,64.03443886584448,0
59.30403137207031,79.18904044445738,81.97143152700815,83.6485277176466,79.93414470969621,64.95536135656862,0
60.35578155517578,78.90198951984073,83.38746246566107,85.0910090803001,80.68840514357484,65.6294626220457,0
61.50288391113281,78.78331698439167,86.15643548304459,86.37664701914427,80.99291395853297,65.75496516956997,0
62.85136032104492,78.11634356477369,87.76605252081026,89.16222330312104,81.6816792688697,66.44274070736665,0
58.33298873901367,77.81521624096212,89.11931196245406,88.40392465218707,81.34612419701453,68.4513994237553,0
50.00080490112305,74.87245248473891,80.59846505226865,82.09281950365543,74.47121320788114,64.19222517100106,0
51.21116256713867,75.6498870936042,79.34334183765802,81.16250849346571,74.50984988602178,62.00961883402587,0
51.868247985839844,76.12898427584317,78.85719616758695,80.64909358717902,74.97700035936057,61.63373589814585,0
51.80933380126953,76.1923936389611,77.80027938408949,79.85332161961371,75.41030290570258,62.082503831134765,0
51.28391647338867,73.64332124046425,77.27854808734014,79.73492690381401,75.9976443084173,62.87294196499841,0
65.21139526367188,80.8389090538729,85.05135570315161,88.71288828183809,79.44619887701938,65.69754026201429,0
61.05626678466797,81.70049144754142,86.59508862644275,87.79965747439175,79.0907511692238,66.20886949870945,0
58.545047760009766,81.18013108883736,85.99231193047926,86.09732365961669,78.9257818811219,66.30279736017533,0
61.52836608886719,71.57272356481792,78.58485601196621,81.7918855114897,75.34829279407761,64.16144402411406,0
64.49568176269531,69.64179581385132,79.17940911857845,84.18255191131229,77.79288345256735,67.53708848087554,0
65.90133666992188,69.16389574330782,80.23748514734578,85.62538526589223,79.05013181691193,68.61069977578762,0
64.92334747314453,69.17055708194172,80.7692197204783,86.04223926698378,79.46353665521453,67.42001422933347,0
63.7004280090332,72.46744694937738,82.10283989123371,86.36662280515795,79.45587814657453,65.02749079366244,0
53.59642791748047,70.49210364532803,77.3453536979906,80.98362181054624,74.59265029040897,61.50899122491063,0
54.863162994384766,69.87860479694041,78.37239357382033,82.23441883927208,74.62397258667899,62.7314584197548,0
60.16674041748047,71.6990037153712,79.77411305009073,85.38677974031104,77.50415701932255,69.3858808483915,0
67.37213134765625,71.28344849007043,83.12721383690956,86.91732203462965,79.97013617336552,69.98485444612692,0
65.44466400146484,72.01098688251551,80.71067933021017,85.15318736219747,78.12591724611094,64.79046163993809,0
64.01475524902344,72.6089280090712,80.55304390910564,84.87760415844899,77.77038966084835,63.81886971696225,0
60.04824447631836,71.54828967064299,79.89907613980255,84.1164192696855,76.64881180375598,62.952799214581276,0
58.12161636352539,69.63758249084863,79.22358863983015,83.65626909873139,76.34698776203513,62.90209315986868,0
59.32693099975586,68.46036640700208,79.94288080192322,84.16001174989245,77.32118094293251,64.08880154956822,0
61.84833526611328,67.94515708970395,81.3767148960023,84.38282548813704,78.19986987868792,66.40545866622067,0
64.82078552246094,68.8684500535503,81.67412361550373,85.55113231556652,79.37920152065205,67.90926541520795,0
66.76144409179688,73.42520311053515,81.81006903740153,85.33217466413218,79.60918441476193,68.07635315238338,0
64.54881286621094,76.46088046859361,81.89079770124653,84.81603274196199,79.33235819389046,67.16363020676903,0
64.46610260009766,77.30001753526861,82.25394931772692,85.12890927687324,78.90150290782466,65.93779164141748,0
57.9704704284668,76.10306611394374,78.68893210123076,81.9025362922594,72.9000469020146,60.47151634257755,0
56.431976318359375,75.06884003235294,77.90811438071,80.5116132495028,71.71643471722957,59.23955329700256,0
55.22502899169922,75.14214534011029,77.47467772324212,79.17234655584778,70.52776428530466,58.090001170569245,0
